z_parent,n_parent,elem_parent,parent_l_seqno,decay,z_daughter,n_daughter,elem_daughter,shell,energy,old_energy,intensity,intensity_unc_abs,from_gamma_energy,conversion_coeff_shell
81,127,Tl,0,B-,82,126,Pb,L1N3,15.216,15.216,0.000307,0.000008829542885753002,2614.511,
81,127,Tl,0,B-,82,126,Pb,L1O23,15.766,15.756 - 15.777,0.00011,0.000003310425804071983,2614.511,
81,127,Tl,0,B-,82,126,Pb,L1P23,15.86,15.860,3.8e-06,0.00000028840355639324473,2614.511,
81,127,Tl,0,B-,82,126,Pb,KA2,72.805,72.805,0.048,0.000748768046872958,2614.511,0.001712 24
81,127,Tl,0,B-,82,126,Pb,KA1,74.97,74.970,0.0806,0.0012119893271332562,2614.511,0.001712 24
81,127,Tl,0,B-,82,126,Pb,KpB1,84.986,84.451 - 85.521,0.0276,0.0005805012023301517,2614.511,
81,127,Tl,0,B-,82,126,Pb,KB,86.022,84.451 - 87.592,0.0359,0.0007431501881400829,2614.511,0.001712 24
81,127,Tl,0,B-,82,126,Pb,KpB2,87.301,87.242 - 87.360,0.00832,0.00022296749980288186,2614.511,
81,127,Tl,0,B-,82,126,Pb,L3M1,9.184,9.184,0.0207,0.0010812135366878232,277.371,
81,127,Tl,0,B-,82,126,Pb,L3M4,10.449,10.449,0.04,0.0020932751723549687,277.371,
81,127,Tl,0,B-,82,126,Pb,L3M5,10.551,10.551,0.04,0.0020932751723549687,277.371,
81,127,Tl,0,B-,82,126,Pb,L3,11.109,9.184 - 13.034,0.51,0.026092165888603663,277.371,0.000509 10
81,127,Tl,0,B-,82,126,Pb,L2M1,11.349,11.349,0.008,0.0004023778284288124,277.371,
81,127,Tl,0,B-,82,126,Pb,L3N1,12.142,12.142,0.351,0.018397431445352393,277.371,
81,127,Tl,0,B-,82,126,Pb,L1M2,12.307,12.307,0.0167,0.0008300410825440551,277.371,
81,127,Tl,0,B-,82,126,Pb,L,12.522,9.184 - 15.860,1.07,0.06101847290740007,277.371,0.0745 11
81,127,Tl,0,B-,82,126,Pb,L3N45,12.611,12.600 - 12.622,0.0052,0.0005734509087995282,277.371,
81,127,Tl,0,B-,82,126,Pb,L2M4,12.614,12.614,0.287,0.014769401474874247,277.371,
81,127,Tl,0,B-,82,126,Pb,L1M3,12.795,12.795,0.0183,0.0009179408517295533,277.371,
81,127,Tl,0,B-,82,126,Pb,L3O1,12.888,12.888,0.079,0.004143046436650791,277.371,
81,127,Tl,0,B-,82,126,Pb,L3O45,13.015,13.014 - 13.016,0.00112,0.0000766500579677779,277.371,
81,127,Tl,0,B-,82,126,Pb,L3P1,13.026,13.026,0.0104,0.0005418881898166752,277.371,
81,127,Tl,0,B-,82,126,Pb,L2,13.274,11.349 - 15.199,0.368,0.018314171087159173,277.371,0.00688 10
81,127,Tl,0,B-,82,126,Pb,L1,14.083,12.307 - 15.860,0.0467,0.0022634859260604206,277.371,0.0665 9
81,127,Tl,0,B-,82,126,Pb,L2N1,14.307,14.307,0.00206,0.00010896472548220974,277.371,
81,127,Tl,0,B-,82,126,Pb,L2N4,14.765,14.765,0.062,0.0031361786835778743,277.371,
81,127,Tl,0,B-,82,126,Pb,L2O1,15.053,15.053,0.062,0.0031361786835778743,277.371,
81,127,Tl,0,B-,82,126,Pb,L1N2,15.098,15.098,0.00439,0.0002176124962190965,277.371,
81,127,Tl,0,B-,82,126,Pb,L2O4,15.179,15.179,0.0084,0.00042219946788936067,277.371,
81,127,Tl,0,B-,82,126,Pb,L2P1,15.191,15.191,7e-05,0.000036990618033176567,277.371,
81,127,Tl,0,B-,82,126,Pb,L1N3,15.216,15.216,0.0053,0.0002622302036787822,277.371,
81,127,Tl,0,B-,82,126,Pb,L1O23,15.766,15.756 - 15.777,0.00191,0.00009569601905824135,277.371,
81,127,Tl,0,B-,82,126,Pb,L1P23,15.86,15.860,6.5e-05,0.000005644078704052159,277.371,
81,127,Tl,0,B-,82,126,Pb,KA2,72.805,72.805,0.81,0.039355960753091036,277.371,0.436 7
81,127,Tl,0,B-,82,126,Pb,KA1,74.97,74.970,1.36,0.06589776331648403,277.371,0.436 7
81,127,Tl,0,B-,82,126,Pb,KpB1,84.986,84.451 - 85.521,0.464,0.023542255478450205,277.371,
81,127,Tl,0,B-,82,126,Pb,KB,86.022,84.451 - 87.592,0.6,0.030563986001991988,277.371,0.436 7
81,127,Tl,0,B-,82,126,Pb,KpB2,87.301,87.242 - 87.360,0.14,0.007479143467678904,277.371,
81,127,Tl,0,B-,82,126,Pb,L3M1,9.184,9.2,1.34e-07,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L3M4,10.449,10.4,2.6e-07,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L3M5,10.551,10.6,2.6e-07,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L3,11.109,9.2 - 13.0,3.3e-06,,3197.7,6.83E-6 10
81,127,Tl,0,B-,82,126,Pb,L2M1,11.349,11.3,5.39e-08,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L3N1,12.142,12.1,2.28e-06,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L1M2,12.307,12.3,1.1e-07,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L,12.522,9.2 - 15.9,7.1e-06,,3197.7,0.000506 7
81,127,Tl,0,B-,82,126,Pb,L3N45,12.611,12.6 - 12.6,3.4e-08,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L2M4,12.614,12.6,1.95e-06,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L1M3,12.795,12.8,1.21e-07,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L3O1,12.888,12.9,5.14e-07,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L3O45,13.015,13.0 - 13.0,7.3e-09,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L3P1,13.026,13.0,6.73e-08,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L2,13.274,11.3 - 15.2,2.49e-06,,3197.7,8.16E-5 11
81,127,Tl,0,B-,82,126,Pb,L1,14.083,12.3 - 15.9,3.09e-07,,3197.7,0.000416 6
81,127,Tl,0,B-,82,126,Pb,L2N1,14.307,14.3,1.4e-08,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L2N4,14.765,14.8,4.18e-07,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L2O1,15.053,15.1,4.18e-07,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L1N2,15.098,15.1,2.9e-08,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L2O4,15.179,15.2,5.66e-08,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L2P1,15.191,15.2,5e-10,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L1N3,15.216,15.2,3.52e-08,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L1O23,15.766,15.8 - 15.8,1.27e-08,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L1P23,15.86,15.9,4.3e-10,,3197.7,
81,127,Tl,0,B-,82,126,Pb,KA2,72.805,72.8,5.23e-06,,3197.7,0.00266 4
81,127,Tl,0,B-,82,126,Pb,KA1,74.97,75.0,8.79e-06,,3197.7,0.00266 4
81,127,Tl,0,B-,82,126,Pb,KpB1,84.986,84.5 - 85.5,3e-06,,3197.7,
81,127,Tl,0,B-,82,126,Pb,KB,86.022,84.5 - 87.6,3.91e-06,,3197.7,0.00266 4
81,127,Tl,0,B-,82,126,Pb,KpB2,87.301,87.2 - 87.4,9.1e-07,,3197.7,
81,127,Tl,0,B-,82,126,Pb,L3M1,9.184,9.18,0.0137,0.0004095644704365084,510.77,
81,127,Tl,0,B-,82,126,Pb,L3M4,10.449,10.45,0.0264,0.0007949244592047505,510.77,
81,127,Tl,0,B-,82,126,Pb,L3M5,10.551,10.55,0.0264,0.0007949244592047505,510.77,
81,127,Tl,0,B-,82,126,Pb,L3,11.109,9.18 - 13.03,0.336,0.009506689178403055,510.77,9.1E-5 5
81,127,Tl,0,B-,82,126,Pb,L2M1,11.349,11.35,0.00524,0.00015299097924111814,510.77,
81,127,Tl,0,B-,82,126,Pb,L3N1,12.142,12.14,0.232,0.006984005152895547,510.77,
81,127,Tl,0,B-,82,126,Pb,L1M2,12.307,12.31,0.0109,0.0003383889684960412,510.77,
81,127,Tl,0,B-,82,126,Pb,L,12.522,9.18 - 15.86,0.71,0.030124202364429448,510.77,0.01419 21
81,127,Tl,0,B-,82,126,Pb,L3N45,12.611,12.60 - 12.62,0.0034,0.0003494520912038804,510.77,
81,127,Tl,0,B-,82,126,Pb,L2M4,12.614,12.61,0.19,0.005780117089916663,510.77,
81,127,Tl,0,B-,82,126,Pb,L1M3,12.795,12.80,0.012,0.0003785980266394653,510.77,
81,127,Tl,0,B-,82,126,Pb,L3O1,12.888,12.89,0.0523,0.0015746474346724725,510.77,
81,127,Tl,0,B-,82,126,Pb,L3O45,13.015,13.01 - 13.02,0.00074,0.00003955457771641744,510.77,
81,127,Tl,0,B-,82,126,Pb,L3P1,13.026,13.03,0.00685,0.00020523135063135818,510.77,
81,127,Tl,0,B-,82,126,Pb,L2,13.274,11.35 - 15.20,0.243,0.006717051025142652,510.77,0.001253 19
81,127,Tl,0,B-,82,126,Pb,L1,14.083,12.31 - 15.86,0.0306,0.0008828224554110553,510.77,0.01272 19
81,127,Tl,0,B-,82,126,Pb,L2N1,14.307,14.31,0.00136,0.000044764169210595114,510.77,
81,127,Tl,0,B-,82,126,Pb,L2N4,14.765,14.77,0.0407,0.0012002482952693163,510.77,
81,127,Tl,0,B-,82,126,Pb,L2O1,15.053,15.05,0.0407,0.0012002482952693163,510.77,
81,127,Tl,0,B-,82,126,Pb,L1N2,15.098,15.10,0.00288,0.00008837425126916829,510.77,
81,127,Tl,0,B-,82,126,Pb,L2O4,15.179,15.18,0.00551,0.00016001524180306166,510.77,
81,127,Tl,0,B-,82,126,Pb,L2P1,15.191,15.19,4.9e-05,0.000024304543373154017,510.77,
81,127,Tl,0,B-,82,126,Pb,L1N3,15.216,15.22,0.00349,0.00010519911968242863,510.77,
81,127,Tl,0,B-,82,126,Pb,L1O23,15.766,15.76 - 15.78,0.00126,0.000039302072854412835,510.77,
81,127,Tl,0,B-,82,126,Pb,L1P23,15.86,15.86,4.3e-05,0.000003302799628193454,510.77,
81,127,Tl,0,B-,82,126,Pb,KA2,72.805,72.81,0.534,0.010194950185062612,510.77,0.0842 13
81,127,Tl,0,B-,82,126,Pb,KA1,74.97,74.97,0.898,0.016713502078511046,510.77,0.0842 13
81,127,Tl,0,B-,82,126,Pb,KpB1,84.986,84.45 - 85.52,0.307,0.007291493650057585,510.77,
81,127,Tl,0,B-,82,126,Pb,KB,86.022,84.45 - 87.59,0.4,0.0093685884303184,510.77,0.0842 13
81,127,Tl,0,B-,82,126,Pb,KpB2,87.301,87.24 - 87.36,0.093,0.0026843069040278287,510.77,
81,127,Tl,0,B-,82,126,Pb,L3M1,9.184,9.184,0.0098,0.0002731433269976025,583.187,
81,127,Tl,0,B-,82,126,Pb,L3M4,10.449,10.449,0.0189,0.0005304383230126627,583.187,
81,127,Tl,0,B-,82,126,Pb,L3M5,10.551,10.551,0.0189,0.0005304383230126627,583.187,
81,127,Tl,0,B-,82,126,Pb,L3,11.109,9.184 - 13.034,0.24,0.006282993523587358,583.187,0.000485 7
81,127,Tl,0,B-,82,126,Pb,L2M1,11.349,11.349,0.0044,0.0001150746645791984,583.187,
81,127,Tl,0,B-,82,126,Pb,L3N1,12.142,12.142,0.166,0.0046599368029017615,583.187,
81,127,Tl,0,B-,82,126,Pb,L1M2,12.307,12.307,0.00718,0.0002142941348157156,583.187,
81,127,Tl,0,B-,82,126,Pb,L,12.522,9.184 - 15.860,0.527,0.021912973696878328,583.187,0.00411 6
81,127,Tl,0,B-,82,126,Pb,L3N45,12.611,12.600 - 12.622,0.0024,0.0002484048942541676,583.187,
81,127,Tl,0,B-,82,126,Pb,L2M4,12.614,12.614,0.159,0.004391898837162086,583.187,
81,127,Tl,0,B-,82,126,Pb,L1M3,12.795,12.795,0.00788,0.00024008426142811882,583.187,
81,127,Tl,0,B-,82,126,Pb,L3O1,12.888,12.888,0.0374,0.0010509269068338712,583.187,
81,127,Tl,0,B-,82,126,Pb,L3O45,13.015,13.014 - 13.016,0.00053,0.000027695540316763443,583.187,
81,127,Tl,0,B-,82,126,Pb,L3P1,13.026,13.026,0.0049,0.0001368658161717174,583.187,
81,127,Tl,0,B-,82,126,Pb,L2,13.274,11.349 - 15.199,0.204,0.004983023351126662,583.187,0.001407 20
81,127,Tl,0,B-,82,126,Pb,L1,14.083,12.307 - 15.860,0.0201,0.0005559927863858958,583.187,0.002209 31
81,127,Tl,0,B-,82,126,Pb,L2N1,14.307,14.307,0.00114,0.00003453979899917622,583.187,
81,127,Tl,0,B-,82,126,Pb,L2N4,14.765,14.765,0.0342,0.000904922844878968,583.187,
